1949;100.000000
1950;100.000000
1951;100.000000
1952;100.000000
1953;100.000000
1954;100.000000
1955;100.000000
1956;100.000000
1957;100.000000
1958;100.000000
1959;100.000000
1960;100.000000
1961;100.000000
1962;100.000000
1963;100.000000
1964;100.000000
1965;100.000000
1966;100.000000
1967;100.000000
1968;100.000000
1969;100.000000
1970;100.000000
1971;100.000000
1972;100.000000
1973;100.000000
1974;100.000000
1975;100.000000
1976;100.000000
1977;100.000000
1978;100.000000
1979;100.000000
1980;99.000000
1981;99.000000
1982;99.000000
1983;99.000000
1984;98.000000
1985;98.000000
1986;98.000000
1987;98.000000
1988;99.000000
1989;99.000000
1990;98.000000
1991;98.000000
1992;100.000000
1993;100.000000
1994;100.000000
1995;100.000000
1996;99.000000
1997;99.000000
1998;99.000000
1999;99.000000
2000;99.000000
2001;100.000000
2002;100.000000
2003;100.000000
2004;100.000000
2005;100.000000
2006;100.000000
2007;100.000000
2008;100.000000
2009;100.000000
2010;100.000000
2011;100.000000
2012;100.000000
2013;100.000000
2014;100.000000
2015;100.000000
